latitude,longitude,temperature
-79.325,17.072,0.9
-79.094,17.073,4.64
-79.21,17.073,2.95
-78.863,17.074,4.1
-78.979,17.074,4.11
-78.632,17.075,-199
-78.747,17.075,4.07
-78.517,17.076,-199
-79.224,17.082,3.46
-79.339,17.082,1.03
-78.993,17.083,3.97
-79.108,17.083,4.5
-78.646,17.084,-199
-78.762,17.084,4.09
-78.877,17.084,4.21
-78.531,17.085,-199
-79.354,17.091,-0.06
-79.007,17.092,3.82
-79.122,17.092,4.51
-79.238,17.092,1.8
-78.66,17.093,-199
-78.776,17.093,3.95
-78.891,17.093,4.06
-78.545,17.094,-199
-79.137,17.101,4.26
-79.252,17.101,1.79
-79.368,17.101,0.08
-78.675,17.102,3.24
-78.791,17.102,4.22
