"","closure_effect","closure_effect01","Nation","Nation01","ves_length","ves_length_z","dist_pomo","dist_pomo_z","Port","group_j"
"1","yes",1,"Italy",1,19.5,-0.0496100615082665,51,-0.186833273242716,"ORTONA",5
"2","no",0,"Italy",1,19,-0.104107294206929,51,-0.186833273242716,"ORTONA",5
"3","no",0,"Italy",1,19.5,-0.0496100615082665,51,-0.186833273242716,"ORTONA",5
"4","no",0,"Italy",1,25,0.549859498177021,51,-0.186833273242716,"ORTONA",5
"5","no",0,"Italy",1,18,-0.213101759604254,51,-0.186833273242716,"ORTONA",5
"6","yes",1,"Italy",1,25,0.549859498177021,49,-0.229310465027916,"PESCARA",6
"7","yes",1,"Italy",1,28,0.876842894368996,49,-0.229310465027916,"PESCARA",6
"8","yes",1,"Italy",1,18,-0.213101759604254,49,-0.229310465027916,"PESCARA",6
"9","yes",1,"Italy",1,18,-0.213101759604254,49,-0.229310465027916,"PESCARA",6
"10","yes",1,"Italy",1,15,-0.540085155796229,49,-0.229310465027916,"PESCARA",6
"11","yes",1,"Italy",1,27,0.767848428971671,49,-0.229310465027916,"PESCARA",6
"12","yes",1,"Italy",1,21,0.113881636587721,49,-0.229310465027916,"PESCARA",6
"13","yes",1,"Italy",1,28,0.876842894368996,49,-0.229310465027916,"PESCARA",6
"14","no",0,"Italy",1,21,0.113881636587721,49,-0.229310465027916,"PESCARA",6
"15","yes",1,"Italy",1,20,0.004887171190396,49,-0.229310465027916,"PESCARA",6
"16","yes",1,"Italy",1,20,0.004887171190396,49,-0.229310465027916,"PESCARA",6
"17","yes",1,"Italy",1,20,0.004887171190396,49,-0.229310465027916,"PESCARA",6
"18","no",0,"Italy",1,23,0.331870567382371,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"19","yes",1,"Italy",1,27,0.767848428971671,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"20","yes",1,"Italy",1,19,-0.104107294206929,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"21","yes",1,"Italy",1,19.5,-0.0496100615082665,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"22","yes",1,"Italy",1,23,0.331870567382371,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"23","no",0,"Italy",1,26,0.658853963574346,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"24","yes",1,"Italy",1,23,0.331870567382371,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"25","yes",1,"Italy",1,25,0.549859498177021,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"26","yes",1,"Italy",1,24,0.440865032779696,56,-0.0806402937797157,"SAN BENEDETTO DEL TRONTO",8
"27","yes",1,"Italy",1,14,-0.649079621193554,44,-0.335503444490916,"GIULIANOVA",2
"28","yes",1,"Italy",1,24,0.440865032779696,44,-0.335503444490916,"GIULIANOVA",2
"29","yes",1,"Italy",1,8.7,-1.22675028779938,44,-0.335503444490916,"GIULIANOVA",2
"30","yes",1,"Italy",1,20,0.004887171190396,44,-0.335503444490916,"GIULIANOVA",2
"31","yes",1,"Italy",1,15,-0.540085155796229,44,-0.335503444490916,"GIULIANOVA",2
"32","yes",1,"Italy",1,24,0.440865032779696,54,-0.123117485564916,"VASTO",14
