# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=505698096
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-31.2717,1,0.25,1,1,0,33.1633,-0.495306
-31.2717,0,14.3855,0,1,1,32.0965,-0.495306
-31.2717,0,2.43117,0,1,1,31.3675,-0.495306
-31.8761,0.840438,0.239791,1,1,0,32.3508,-0.55777
-31.8761,0.939027,0.205589,1,1,0,32.5907,-0.55777
-29.2304,0.983576,0.262804,1,3,0,31.201,-0.0203725
-29.4077,0.856497,0.417931,1,1,0,29.4514,0.0919911
-29.3854,0.669451,0.472722,1,3,0,29.3864,-0.169546
-29.5686,0.954955,0.304531,2,3,0,29.6376,-0.228282
-29.5686,0.0275066,0.48844,1,1,0,29.786,-0.228282
-29.4932,0.995625,0.0422747,3,15,0,30.6804,0.120607
-29.5247,0.999107,0.0789101,2,3,0,29.5487,0.129973
-29.5829,0.997829,0.149891,2,3,0,29.5985,0.146021
-29.5134,0.8785,0.283929,2,3,0,30.1985,0.126655
-29.5159,0.972317,0.36983,1,3,0,29.5577,-0.213482
-29.2295,1,0.644027,1,1,0,29.243,-0.0225295
-29.2295,1.24097e-82,1.21455,1,1,0,29.8167,-0.0225295
-29.4251,0.991495,0.107169,2,7,0,29.4744,0.0982892
-29.2738,0.966274,0.198326,1,3,0,29.7023,-0.112722
-29.2416,1,0.337382,1,1,0,29.2665,-0.0834611
-29.536,0.557628,0.629776,1,1,0,29.8297,0.13319
-29.5407,0.999223,0.31479,2,3,0,29.6947,0.13452
-29.2259,1,0.581239,1,1,0,29.263,-0.0511565
-29.2259,3.81859e-35,1.06495,1,1,0,29.7571,-0.0511565
-31.1961,0.90778,0.108245,2,5,0,31.9832,-0.486868
-30.3925,1,0.153085,1,1,0,31.102,-0.384604
-29.8508,1,0.279549,2,3,0,30.3778,-0.293074
-29.8508,5.10968e-09,0.505376,1,1,0,31.2937,-0.293074
-29.6649,0.998933,0.0558416,3,11,0,30.1227,0.166582
-29.7232,0.99703,0.101033,1,1,0,29.7274,0.180038
-30.0183,0.953248,0.180066,1,1,0,30.035,0.238507
-29.3377,0.855994,0.282233,2,3,0,30.6302,-0.149051
-32.0788,0.478357,0.337911,1,3,0,32.0828,0.491016
-33.1501,0.890564,0.147064,1,1,0,33.1933,0.583287
-34.0131,0.957434,0.193405,3,7,0,34.0131,-0.734806
-29.2722,1,0.3019,1,1,0,31.8518,-0.111519
-29.2722,0.201779,0.522882,1,1,0,29.6721,-0.111519
