# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=688345515
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-28.5004,1,0.25,1,3,0,40.7928,0.621173
-28.5004,0,14.3855,0,1,1,30.6599,0.621173
-28.5004,0,2.43117,0,1,1,28.8697,0.621173
-27.6072,1,0.239791,2,3,0,28.2492,0.0418495
-27.5656,1,0.324332,2,3,0,27.7245,0.0518619
-28.1779,0.454759,0.507206,1,1,0,28.3536,0.574223
-27.1916,0.884182,0.162617,1,3,0,29.701,0.193898
-27.5095,0.901359,0.197375,1,3,0,27.9046,0.442731
-27.5095,0.623079,0.261322,1,1,0,28.4444,0.442731
-27.155,0.999244,0.146853,3,7,0,27.537,0.252492
-27.1748,0.980273,0.27414,2,3,0,27.2204,0.209858
-27.1748,0.00277846,0.486456,1,1,0,28.419,0.209858
-27.2036,0.99924,0.039871,3,15,0,27.3853,0.184712
-27.1995,1,0.0763053,1,1,0,27.2036,0.187744
-27.1567,0.998039,0.146221,1,3,0,27.2309,0.241276
-28.5097,0.609295,0.277374,2,3,0,29.1608,-0.113515
-29.0951,0.929383,0.158129,1,1,0,29.1237,-0.185907
-28.2618,1,0.242078,1,1,0,29.0439,-0.0781449
-28.4235,0.44228,0.456788,1,3,0,28.4307,0.610548
-28.7968,0.953465,0.159753,1,1,0,28.8548,0.659559
-29.9593,0.672534,0.261173,1,1,0,30.371,0.783899
-30.1002,0.976251,0.184713,1,1,0,30.5341,0.797029
-27.1681,1,0.320289,1,1,0,28.608,0.290793
-27.1559,1,0.589821,1,1,0,27.1561,0.244549
-27.1559,5.13269e-11,1.07528,1,1,0,27.2798,0.244549
-27.186,0.991565,0.11146,3,7,0,27.4373,0.198712
-27.22,0.991395,0.199269,2,3,0,27.2725,0.173807
-27.7617,0.713892,0.352653,1,1,0,27.8414,0.00818963
-27.5242,1,0.285412,2,3,0,27.7968,0.0623445
-27.3616,0.54062,0.510869,1,3,0,27.3646,0.398198
-27.3307,1,0.25738,1,1,0,27.4047,0.38701
-27.991,0.5021,0.456685,1,1,0,28.4694,0.543548
-27.7843,1,0.209936,1,1,0,28.0357,0.505278
-28.026,0.847725,0.369637,1,1,0,28.4979,0.549532
-27.5692,1,0.430736,1,1,0,27.6086,0.050969
-27.5692,7.93878e-12,0.747222,1,1,0,27.571,0.050969
-27.8051,0.985645,0.0946136,2,3,0,27.9818,-0.00045732
-27.1833,1,0.158629,2,3,0,27.7314,0.201171
-27.6917,0.769481,0.273728,2,3,0,28.2295,0.0228441
-27.1632,0.921535,0.260264,2,3,0,28.0942,0.283312
-27.1554,1,0.363791,1,1,0,27.159,0.261071
-27.1554,0.122367,0.616096,1,1,0,27.2853,0.261071
-28.0572,0.951956,0.116141,2,5,0,28.3576,-0.0458424
-27.5206,1,0.174714,3,7,0,27.9753,0.445631
-27.1562,0.998306,0.293984,1,3,0,27.371,0.243168
-27.1562,0.841118,0.488949,1,1,0,27.1793,0.243168
-27.1562,9.82269e-05,0.551695,1,1,0,28.0934,0.243168
