lon,lat,ele,time,name,sym,Notes
-121.906856,36.59339,NA,NA,1,NA,I thought I got the waypoint for the northeast corner of the property but I didn't; these values are from google maps (I checked point 15 and it was correct to the 4th decimal)
-121.907055,36.593451,48.197628,2019-10-10T17:45:33Z,2,"Flag, Blue",Straight line along fence to the corner next to the weed plants
-121.907032,36.593423,48.934093,2019-10-10T17:45:51Z,3,"Flag, Blue",Straight North along Fence
-121.907178,36.593443,50.766663,2019-10-10T17:47:29Z,4,"Flag, Blue",Garage NW corner
-121.907141,36.593468,51.801243,2019-10-10T17:48:13Z,5,"Flag, Blue",Fence opposite garage corner
-121.907233,36.593473,51.983978,2019-10-10T17:48:37Z,6,"Flag, Blue","Picket fence corner, next to sidewalk"
-121.907244,36.593357,51.00071,2019-10-10T17:49:09Z,7,"Flag, Blue","Sidewalk, by front gate"
-121.907254,36.593254,52.027031,2019-10-10T17:49:34Z,8,"Flag, Blue","Sidewalk, SW corner of picket fence"
-121.907155,36.593233,50.140911,2019-10-10T17:50:11Z,9,"Flag, Blue",Corner of stairs (SE)
-121.907043,36.593204,48.855873,2019-10-10T17:50:39Z,10,"Flag, Blue",Big Monterey Pine (hypothesized southern boundary)
-121.906919,36.593192,48.047573,2019-10-10T17:51:27Z,11,"Flag, Blue","Neighbor's fence, in line with small cedar and big pine"
-121.906979,36.593218,48.801136,2019-10-10T17:52:09Z,12,"Flag, Blue",Backyard gate to easement
-121.906925,36.59322,49.358833,2019-10-10T17:52:36Z,13,"Flag, Blue",Neighbor's gate to backyard
-121.906888,36.593188,48.421867,2019-10-10T17:54:22Z,14,"Flag, Blue",Hypothesized limit of southern boundary along fence (measured 67.8 ft from jog on eastern fence)
-121.906906,36.593339,51.546524,2019-10-10T17:58:18Z,15,"Flag, Blue",Jog on eastern fence. 
-121.907037,36.593422,54.550808,2019-10-10T17:59:17Z,16,"Flag, Blue",Northeast corner of garage
